Ano;Month;Prec_ETP_CRU;;;;;
2015;10;-166,230;;;;;
2015;11;-163,379;;;;;
2015;12;-149,418;;;;;
2016;1;-65,700;;;;;
2016;2;-81,701;;;;;
2016;3;17,643;;;;;
2016;4;-26,262;;;;;
2016;5;-56,212;;;;;
2016;6;-68,082;;;;;
2016;7;-105,480;;;;;
2016;8;-134,541;;;;;
2016;9;-150,315;;;;;
2016;10;-167,474;;;;;
2016;11;-163,824;;;;;
2016;12;-152,163;;;;;
